NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
연희곰탕,서울 서대문구 증가로 17-0,맛집,한식,홍대입구역
연희김밥본점,서울 서대문구 연희로11가길 2-0,맛집,간이음식,홍대입구역
연희녹두삼계탕,서울 서대문구 연희맛로 43-1,맛집,한식,홍대입구역
연희동손칼국수본점,서울 서대문구 연희맛로 37-0,맛집,한식,홍대입구역
연희보리밥,서울 서대문구 연희맛로 33-0,맛집,한식,홍대입구역
연희예술극장,서울 서대문구 연희맛로 2-3,맛집,카페/찻집,홍대입구역
영양센타모래내점,서울 서대문구 모래내로 271-0,맛집,한식,증산역
우자매순대국,서울 서대문구 거북골로24길 65-0,맛집,한식,증산역
월순철판동태찜연희본점,서울 서대문구 연희맛로 17-14,맛집,한식,홍대입구역
이정희떡볶이,서울 서대문구 증가로10길 14-0,맛집,간이음식,증산역
이화원,서울 서대문구 연희맛로 13-0,맛집,외국식,홍대입구역
정육면체,서울 서대문구 연세로5다길 22-8,맛집,외국식,신촌역
조은집,서울 서대문구 연희맛로 43-0,맛집,한식,홍대입구역
지호한방삼계탕연희점,서울 서대문구 연희로25길 10-0,맛집,한식,홍대입구역
진보,서울 서대문구 연희맛로 9-0,맛집,외국식,홍대입구역
짚불집,서울 서대문구 연희로8길 5-3,맛집,한식,홍대입구역
철길떡볶이,서울 서대문구 충정로 35-6,맛집,간이음식,충정로역
청송함흥냉면,서울 서대문구 연희맛로 6-0,맛집,한식,홍대입구역
카덴,서울 서대문구 연희로 173-0,맛집,외국식,홍대입구역
콘하스연희점,서울 서대문구 연희로27길 99-0,맛집,카페/찻집,홍대입구역
쿳사,서울 서대문구 증가로 48-0,맛집,카페/찻집,증산역
크리스피크림도넛가좌역점,서울 서대문구 수색로 56-0,맛집,간이음식,가좌역
키친봄날,서울 서대문구 신촌로11길 62-0,맛집,간이음식,신촌역
타코벨신촌점,서울 서대문구 연세로 26-1,맛집,외국식,신촌역
티원연세대점 [중식],서울 서대문구 연세로 50-0,맛집,외국식,신촌역
평택고여사집냉면,서울 서대문구 연희로 81-9,맛집,한식,홍대입구역
폴앤폴리나연희점,서울 서대문구 연희로11길 56-0,맛집,간이음식,홍대입구역
프로토콜,서울 서대문구 연희로 109-0,맛집,카페/찻집,홍대입구역
피터팬1978본점,서울 서대문구 증가로 10-0,맛집,간이음식,홍대입구역
하노이의아침연희점,서울 서대문구 연희맛로 10-0,맛집,외국식,홍대입구역
한옥집,서울 서대문구 통일로9길 12-0,맛집,한식,합정역
한옥집김치찜본점,서울 서대문구 통일로9길 12-0,맛집,한식,서대문역
한촌설렁탕북가좌점,서울 서대문구 응암로 67-0,맛집,한식,증산역
형제갈비,서울 서대문구 명물1길 2-0,맛집,한식,신촌역
호천식당,서울 서대문구 연희로14길 5-0,맛집,한식,홍대입구역
홍은손칼국수전문점,서울 서대문구 홍은중앙로 27-0,맛집,한식,홍제역
