,NAME,ADDRESS,CATE,SUBCATE,STATION,LAT,LON,STATION_NAME
55,정원쌈밥보리밥,서울 관악구 신림로18가길 23-0,맛집,한식,봉천역,37.4719593,126.9350122,봉천
56,조마루감자탕구로1호점,서울 관악구 조원로 8-0,맛집,한식,구로디지털단지역,37.48336019,126.903026,구로디지털단지
57,차이나당,서울 관악구 낙성대로 16-0,맛집,외국식,낙성대역,37.47714566,126.9588113,낙성대
58,천미미,서울 관악구 시흥대로 552-0,맛집,외국식,신사역,37.48212087,126.9014158,신사
59,청기와타운서울대점,서울 관악구 남부순환로 1838-0,맛집,한식,서울대입구역,37.48043139,126.9539625,서울대입구
60,청보리한우화로구이,서울 관악구 남부순환로 1453-0,맛집,한식,신대방역,37.4817241,126.9121861,신대방
61,카페보니또사당점,서울 관악구 남부순환로 2032-0,맛집,카페/찻집,사당역,37.47603676,126.9747247,사당
62,카페인중독신림본점,서울 관악구 봉천로6길 40-0,맛집,카페/찻집,신림역,37.48788333,126.9256162,신림
63,킷사서울,서울 관악구 남부순환로226길 31-0,맛집,외국식,서울대입구역,37.47921873,126.9537734,서울대입구
64,팔공,서울 관악구 남부순환로 1680-0,맛집,외국식,봉천역,37.48408243,126.9370973,봉천
65,풍천민물장어삼억집,서울 관악구 남부순환로 1875-0,맛집,외국식,낙성대역,37.47952556,126.958202,낙성대
66,하남돼지집서울대입구역점,서울 관악구 관악로17길 3-0,맛집,한식,서울대입구역,37.48064359,126.9515179,서울대입구
67,하이보,서울 관악구 관악로 134-0,맛집,외국식,삼성역,37.4772487,126.9526997,삼성
68,한근한방삼계탕,서울 관악구 봉천로 396-0,맛집,한식,봉천역,37.48280867,126.9437058,봉천
69,한우정육마당구로점,서울 관악구 시흥대로164길 3-0,맛집,한식,구로디지털단지역,37.48250968,126.9017656,구로디지털단지
70,혼자두면장판뜯어서차린개카페,서울 관악구 남부순환로 1665-0,맛집,카페/찻집,봉천역,37.48512152,126.9356761,봉천
71,황제갈비,서울 관악구 남부순환로 1644-0,맛집,한식,신림역,37.48436831,126.9333048,신림
