NAME,ADDRESS,CATE,SUBCATE
백제정육점,서울 종로구 종로35길 34-0,맛집,한식
익선동카페거리,서울 종로구,맛집,기타음식
제주면장평창점,서울 종로구 평창문화로 72-10,맛집,한식
북악정신관,서울 종로구 평창문화로 169-0,맛집,한식
암소서울,서울 종로구 새문안로 76-0,맛집,한식
삿뽀로관훈점,서울 종로구 인사동5길 38-0,맛집,외국식
베이징코야,서울 종로구 율곡로2길 25-0,맛집,외국식
크리스탈제이드광화문상하이팰리스점,서울 종로구 율곡로2길 7-0,맛집,외국식
경복궁,서울 종로구 사직로 101-0,맛집,한식
더코너키친,서울 종로구 평창문화로 98-0,맛집,외국식
아우어베이커리광화문디팰리스점,서울 종로구 새문안로2길 10-0,맛집,간이음식
아델라베일리,서울 종로구 북악산로 48-0,맛집,전문음식
스톤힐,서울 종로구 자하문로45길 8-11,맛집,외국식
라그릴리아광화문점,서울 종로구 청계천로 11-0,맛집,외국식
개뿔,서울 종로구 낙산성곽서1길 26-0,맛집,카페/찻집
편안한집,서울 종로구 북촌로 133-0,맛집,한식
눈나무집,서울 종로구 삼청로 136-1,맛집,한식
구기동오면,서울 종로구 진흥로 455-0,맛집,한식
모뜨,서울 종로구 평창30길 24-0,맛집,카페/찻집
갓덴스시종로점,서울 종로구 종로12길 14-0,맛집,외국식
들풀청운동점,서울 종로구 자하문로 118-0,맛집,한식
이엔갤러리,서울 종로구 평창길 224-0,맛집,카페/찻집
강남면옥정동점,서울 종로구 새문안로 38-0,맛집,한식
폴바셋광화문점,서울 종로구 종로1길 50-0,맛집,카페/찻집
순대실록대학로본점,서울 종로구 동숭길 127-0,맛집,한식
대련집,서울 종로구 종로16길 37-0,맛집,한식
토속칼국수,서울 종로구 평창길 345-0,맛집,한식
파리크라상광화문점,서울 종로구 종로 1-0,맛집,간이음식
싸리집,서울 종로구 진흥로 463-0,맛집,한식
앤팩토리,서울 종로구 진흥로 469-6,맛집,카페/찻집
