,NAME,ADDRESS_1,CATE,SUBCATE,STATION_NAME,LAT_1,LON_1
60,영양센타대치점,서울 강남구 도곡로 436-0,맛집,한식,한티,37.49771404,127.0581563
61,영천영화청담점,서울 강남구 도산대로90길 3-0,맛집,한식,청담,37.52395997,127.0495787
62,오스테리아꼬또압구정점,서울 강남구 언주로165길 7-12,맛집,외국식,압구정,37.52508926,127.032227
63,오아시스,서울 강남구 도산대로55길 20-0,맛집,외국식,강남구청,37.52477691,127.0406038
64,오엔,서울 강남구 압구정로11길 37-30,맛집,외국식,압구정,37.52765271,127.0176753
65,울프강스테이크하우스,서울 강남구 선릉로152길 21-0,맛집,외국식,강남구청,37.52449739,127.041463
66,이도곰탕본점,서울 강남구 논현로94길 29-5,맛집,한식,역삼,37.50335068,127.038434
67,이디야커피랩,서울 강남구 논현로 636-0,맛집,카페/찻집,언주,37.51047622,127.0329795
68,일일향압구정1호점,서울 강남구 논현로168길 30-0,맛집,외국식,압구정,37.52345789,127.0305883
69,정식당,서울 강남구 선릉로158길 11-0,맛집,한식,강남구청,37.52565829,127.0410811
70,중앙해장,서울 강남구 영동대로86길 17-0,맛집,한식,압구정,37.50828251,127.0654805
71,진미평양냉면,서울 강남구 학동로 305-3,맛집,한식,학동,37.51614525,127.0360423
72,창고43강남점,서울 강남구 강남대로 362-0,맛집,한식,강남,37.49530558,127.029416
73,청국장과보리밥수서점,서울 강남구 광평로46길 5-5,맛집,한식,수서,37.48612055,127.0993289
74,청담골,서울 강남구 선릉로148길 48-0,맛집,외국식,청담,37.52276794,127.0434057
75,카멜커피,서울 강남구 도산대로45길 16-8,맛집,카페/찻집,압구정,37.52345222,127.0359865
76,카페노티드삼성,서울 강남구 테헤란로103길 9-0,맛집,카페/찻집,삼성,37.51004989,127.0638949
77,카페노티드청담,서울 강남구 도산대로53길 15-0,맛집,카페/찻집,압구정,37.52419169,127.0382417
78,퀸즈파크청담점,서울 강남구 압구정로60길 22-0,맛집,외국식,압구정,37.52598354,127.0416103
79,테라로사포스코센터점,서울 강남구 테헤란로 440-0,맛집,카페/찻집,선릉,37.50581497,127.056131
80,테라스룸서울,서울 강남구 선릉로152길 37-0,맛집,외국식,강남구청,37.52464499,127.0426788
81,팀호완삼성점,서울 강남구 봉은사로86길 30-0,맛집,외국식,삼성중앙,37.51144869,127.0568658
82,페어링룸,서울 강남구 도산대로81길 14-0,맛집,외국식,청담,37.52538004,127.0478365
83,평양면옥강남점,서울 강남구 논현로150길 6-0,맛집,한식,학동,37.5189408,127.0291563
84,평양면옥도곡점,서울 강남구 논현로28길 28-0,맛집,한식,매봉,37.48337944,127.0447567
85,포레스트청담,서울 강남구 선릉로 803-0,맛집,외국식,압구정,37.52393512,127.0389637
86,포브라더스도곡점,서울 강남구 논현로28길 40-0,맛집,외국식,매봉,37.48401795,127.045321
87,피양옥,서울 강남구 삼성로133길 14-0,맛집,한식,청담,37.51945423,127.0483013
88,필경재,서울 강남구 광평로 205-0,맛집,한식,수서,37.48490568,127.0951066
89,한성칼국수논현점,서울 강남구 언주로148길 14-0,맛집,한식,강남구청,37.52063014,127.0361626
90,한우리본점,서울 강남구 도산대로 304-0,맛집,한식,강남구청,37.52114955,127.0347293
91,한일관압구정점,서울 강남구 압구정로38길 14-0,맛집,한식,압구정,37.52778318,127.0324973
92,할매재첩국대치점,서울 강남구 삼성로 308-0,맛집,한식,대치,37.49966743,127.0608211
93,해목,서울 강남구 선릉로145길 14-0,맛집,외국식,강남구청,37.52153119,127.0382957
94,흑돈가삼성직영점,서울 강남구 봉은사로86길 14-0,맛집,한식,삼성,37.51251646,127.0563164
0,갓잇올림픽공원점,서울 강동구 성안로 14-0,맛집,외국식,둔촌동,37.52505132,127.129661
1,강동반상,서울 강동구 상일로6길 39-0,맛집,한식,상일동,37.54980368,127.1753477
2,강동해물찜해천탕,서울 강동구 양재대로 1416-0,맛집,한식,둔촌동,37.53225505,127.1385771
3,개수리막국수암사점,서울 강동구 올림픽로 759-0,맛집,한식,암사,37.54904995,127.1267883
4,고모네원조콩탕황태탕,서울 강동구 풍성로57길 13-0,맛집,한식,둔촌동,37.52965982,127.1359314
5,긴자올림픽점,서울 강동구 강동대로 223-0,맛집,외국식,올림픽공원,37.52320484,127.1311782
6,길동우동길동본점,서울 강동구 천호대로 1135-0,맛집,외국식,강동,37.53462921,127.1377886
7,길조본점,서울 강동구 천호대로 1173-0,맛집,한식,길동,37.5342296,127.1416113
8,꼼떼바베큐둔촌본점,서울 강동구 동남로51길 9-0,맛집,외국식,둔촌동,37.53298654,127.1497501
9,꿀꿀진순대국강동본점,서울 강동구 양재대로103길 70-0,맛집,한식,강동,37.53398382,127.134192
10,농협안심한우마을길동사거리점,서울 강동구 양재대로 1422-0,맛집,한식,둔촌동,37.53277071,127.1387231
11,다람,서울 강동구 양재대로85길 29-0,맛집,한식,둔촌동,37.52455919,127.132979
12,도원한우,서울 강동구 진황도로 227-0,맛집,한식,둔촌동,37.5263575,127.1449989
13,동구밖장작구이,서울 강동구 풍성로 309-0,맛집,한식,둔촌동,37.52653166,127.1458051
14,동남스프링,서울 강동구 동남로49길 24-0,맛집,카페/찻집,둔촌동,37.53251665,127.1486967
15,디자인카페허브,서울 강동구 천호대로200길 15-16,맛집,카페/찻집,둔촌동,37.53600156,127.1503857
16,뚝다리명품기사식당,서울 강동구 천중로 175-0,맛집,한식,길동,37.54135452,127.1396477
17,라라브레드길동점,서울 강동구 양재대로116길 13-0,맛집,간이음식,길동,37.53867777,127.1412204
18,로니로티천호점,서울 강동구 천호대로 1027-0,맛집,외국식,천호,37.53810846,127.1263955
19,마드레,서울 강동구 동남로 710-0,맛집,한식,길동,37.53711387,127.1525466
20,백년화편,서울 강동구 양재대로81길 18-0,맛집,간이음식,둔촌동,37.52301474,127.1331752
21,백제추어탕,서울 강동구 양재대로 1406-0,맛집,한식,둔촌동,37.53145439,127.1381504
22,버섯잔치집본점,서울 강동구 성내로 52-0,맛집,한식,강동구청,37.52831795,127.1256951
23,보릿골강동점,서울 강동구 동남로 708-0,맛집,한식,둔촌동,37.53719134,127.1522805
24,봉래면옥,서울 강동구 명일로 200-16,맛집,한식,길동,37.53652268,127.14668
25,봉메밀,서울 강동구 천호대로203길 10-0,맛집,한식,길동,37.53847283,127.1519315
26,브랜뉴하이몬드,서울 강동구 천호옛14길 11-0,맛집,간이음식,천호,37.5364334,127.1261571
27,산수고원,서울 강동구 동남로 588-0,맛집,한식,둔촌동,37.52692284,127.1480775
28,산장가든,서울 강동구 동남로49길 26-0,맛집,한식,둔촌동,37.53250014,127.1484966
29,상무초밥길동점,서울 강동구 천호대로 1139-0,맛집,외국식,길동,37.53459594,127.1381166
30,샘밭막국수올림픽공원점,서울 강동구 강동대로 241-0,맛집,한식,올림픽공원,37.52239735,127.1327176
31,생어거스틴성내점,서울 강동구 강동대로 143-64,맛집,외국식,강동구청,37.52808076,127.1201143
32,서초면옥천호본점,서울 강동구 올림픽로 728-0,맛집,한식,암사,37.5460972,127.1264537
33,셀프하우스,서울 강동구 올림픽로 572-0,맛집,간이음식,강동구청,37.53255275,127.1218186
34,송월냉면,서울 강동구 구천면로29길 26-0,맛집,한식,천호,37.54148254,127.1294628
35,수라연,서울 강동구 강동대로 143-64,맛집,한식,강동구청,37.52808076,127.1201143
36,숟가락반상마실강동점,서울 강동구 동남로73길 31-0,맛집,한식,고덕,37.55267242,127.1544682
37,스윗솔트,서울 강동구 상암로 286-0,맛집,외국식,굽은다리,37.54548127,127.1541357
38,스테이지28,서울 강동구 아리수로61길 105-0,맛집,외국식,고덕,37.56582639,127.1469487
39,신흥정육식당,서울 강동구 양재대로89길 16-0,맛집,한식,둔촌동,37.52688264,127.1346956
40,아웃백스테이크하우스천호점,서울 강동구 올림픽로 660-0,맛집,외국식,천호,37.54016964,127.1245704
41,오늘손칼국수&찜강동본점,서울 강동구 풍성로 206-0,맛집,한식,둔촌동,37.52908761,127.1345872
42,오륜정,서울 강동구 성내로6길 32-0,맛집,한식,강동구청,37.52859715,127.1221887
43,우드멜로우,서울 강동구 아리수로 243-0,맛집,카페/찻집,고덕,37.56307378,127.1550983
44,육대쌈암사점,서울 강동구 고덕로 104-0,맛집,한식,명일,37.55448999,127.1368009
45,으뜸횟집,서울 강동구 양재대로122가길 39-0,맛집,외국식,굽은다리,37.5438693,127.1428828
46,이바돔감자탕강동역점,서울 강동구 천호대로 1099-0,맛집,한식,강동,37.53576104,127.1341186
47,인정원월남쌈,서울 강동구 천호대로 1158-0,맛집,외국식,길동,37.53333526,127.1401091
48,장안면옥명일동점,서울 강동구 상암로 297-0,맛집,한식,굽은다리,37.54646558,127.1555377
49,장어집,서울 강동구 가래여울2길 33-0,맛집,외국식,강동구청,37.57695564,127.1707275
50,주문진,서울 강동구 성안로3길 27-0,맛집,외국식,강동구청,37.52595445,127.128121
51,주양두리돈까스,서울 강동구 고덕로 89-0,맛집,외국식,명일,37.55493413,127.1352866
52,짬뽕지존길동점,서울 강동구 양재대로 1450-0,맛집,외국식,길동,37.53528703,127.139476
53,차이나린찐,서울 강동구 강동대로 217-0,맛집,외국식,올림픽공원,37.52340853,127.1304727
54,착한낙지서울둔촌점,서울 강동구 동남로 592-0,맛집,외국식,둔촌동,37.52730145,127.1482905
55,채선당올림픽공원점,서울 강동구 강동대로 143-22,맛집,외국식,강동구청,37.52717822,127.1218807
56,청진생등심,서울 강동구 올림픽로 803-0,맛집,한식,암사,37.5528763,127.1281361
57,청해진,서울 강동구 강동대로 187-0,맛집,외국식,동대문,37.52481517,127.1274211
58,최냉면본점,서울 강동구 천호옛8길 34-0,맛집,한식,강동구청,37.53274369,127.124988
59,커피몽타주,서울 강동구 올림픽로48길 23-12,맛집,카페/찻집,강동구청,37.5294975,127.121862
60,쿠우쿠우천호점,서울 강동구 천호대로157길 18-0,맛집,외국식,천호,37.53849607,127.1274849
