,NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
79,로코스비비큐경리단길본점,서울 용산구 회나무로 83-0,맛집,외국식,-
80,우다움82,서울 용산구 한강대로40길 26-0,맛집,한식,응암역
81,잠수교집본점,서울 용산구 장문로 81-0,맛집,한식,-
82,청한남점,서울 용산구 한남대로20길 47-24,맛집,외국식,한남역
83,에피세리꼴라주,서울 용산구 한남대로20길 47-24,맛집,외국식,한남역
84,마오이태원점,서울 용산구 회나무로 57-0,맛집,외국식,녹사평역
85,파리크라상이촌점,서울 용산구 이촌로 245-0,맛집,간이음식,이촌역
86,MTL효창점,서울 용산구 효창원로69길 25-0,맛집,카페/찻집,효창공원앞역
87,소수,서울 용산구 한남대로20길 31-0,맛집,한식,한남역
88,더백푸드트럭,서울 용산구 신흥로20길 45-1,맛집,간이음식,-
89,오츠커피,서울 용산구 원효로89길 13-12,맛집,카페/찻집,남영역
90,레호이,서울 용산구 소월로38가길 5-0,맛집,외국식,-
91,바다식당,서울 용산구 이태원로 245-0,맛집,한식,한강진역
