,NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
73,더코너키친,서울 종로구 평창문화로 98-0,맛집,외국식,옥수역
74,아우어베이커리광화문디팰리스점,서울 종로구 새문안로2길 10-0,맛집,간이음식,광화문역
75,아델라베일리,서울 종로구 북악산로 48-0,맛집,전문음식,-
76,스톤힐,서울 종로구 자하문로45길 8-11,맛집,외국식,-
77,라그릴리아광화문점,서울 종로구 청계천로 11-0,맛집,외국식,광화문역
78,개뿔,서울 종로구 낙산성곽서1길 26-0,맛집,카페/찻집,동대문역
79,편안한집,서울 종로구 북촌로 133-0,맛집,한식,-
80,눈나무집,서울 종로구 삼청로 136-1,맛집,한식,-
81,구기동오면,서울 종로구 진흥로 455-0,맛집,한식,-
82,모뜨,서울 종로구 평창30길 24-0,맛집,카페/찻집,-
83,갓덴스시종로점,서울 종로구 종로12길 14-0,맛집,외국식,종각역
84,들풀청운동점,서울 종로구 자하문로 118-0,맛집,한식,-
85,이엔갤러리,서울 종로구 평창길 224-0,맛집,카페/찻집,-
86,강남면옥정동점,서울 종로구 새문안로 38-0,맛집,한식,서대문역
87,폴바셋광화문점,서울 종로구 종로1길 50-0,맛집,카페/찻집,광화문역
88,순대실록대학로본점,서울 종로구 동숭길 127-0,맛집,한식,혜화역
89,대련집,서울 종로구 종로16길 37-0,맛집,한식,을지로3가역
90,토속칼국수,서울 종로구 평창길 345-0,맛집,한식,-
91,파리크라상광화문점,서울 종로구 종로 1-0,맛집,간이음식,광화문역
92,싸리집,서울 종로구 진흥로 463-0,맛집,한식,보라매역
93,앤팩토리,서울 종로구 진흥로 469-6,맛집,카페/찻집,-
