NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
복성각마포본점,서울 마포구 마포대로 63-8,맛집,외국식,마포역
봉피양마포점,서울 마포구 토정로 308-0,맛집,한식,마포역
부영각,서울 마포구 토정로 268-0,맛집,외국식,마포역
비파티세리공덕점,서울 마포구 마포대로14길 4-0,맛집,카페/찻집,공덕역
빈브라더스합정점,서울 마포구 토정로 35-1,맛집,카페/찻집,합정역
산리오러버스클럽,서울 마포구 와우산로19길 18-0,맛집,카페/찻집,상수역
삿뽀로홍대점,서울 마포구 월드컵북로 14-0,맛집,외국식,홍대입구역
색동저고리마포점,서울 마포구 도화길 27-0,맛집,한식,마포역
서강8경,서울 마포구 토정로 128-0,맛집,외국식,상수역
서룡,서울 마포구 월드컵북로 361-0,맛집,외국식,디지털미디어시티역
소금집델리망원점,서울 마포구 월드컵로19길 14-0,맛집,외국식,망원역
소이연남,서울 마포구 동교로 267-0,맛집,외국식,홍대입구역
송가네감자탕본점,서울 마포구 동교로 245-0,맛집,한식,홍대입구역
송추가마골인어반마포점,서울 마포구 독막로 311-0,맛집,한식,공덕역
쉐이크쉑홍대점,서울 마포구 양화로 186-0,맛집,간이음식,홍대입구역
스케줄합정,서울 마포구 양화로6길 33-0,맛집,외국식,합정역
아소정,서울 마포구 백범로25길 9-0,맛집,한식,대흥역
아웃백스테이크하우스합정점,서울 마포구 월드컵로3길 14-0,맛집,외국식,합정역
앤트러사이트합정점,서울 마포구 토정로5길 10-0,맛집,카페/찻집,상수역
양화정숯불갈비,서울 마포구 월드컵로1길 17-0,맛집,한식,망원역
어글리베이커리,서울 마포구 월드컵로13길 73-0,맛집,간이음식,망원역
역전회관,서울 마포구 토정로37길 47-0,맛집,한식,공덕역
연남동카페거리,서울 마포구,맛집,기타음식,홍대입구역
옛맛서울불고기,서울 마포구 독막로 56-0,맛집,한식,상수역
오레노라멘,서울 마포구 독막로6길 14-0,맛집,외국식,합정역
옥동식서교점,서울 마포구 양화로7길 44-10,맛집,한식,합정역
와이키키마켓,서울 마포구 마포나루길 332-0,맛집,외국식,망원역
우동카덴,서울 마포구 양화로7안길 2-1,맛집,외국식,합정역
원조조박집본관,서울 마포구 토정로 313-1,맛집,한식,마포역
을밀대본점,서울 마포구 숭문길 24-0,맛집,한식,대흥역
일등식당,서울 마포구 방울내로 82-0,맛집,한식,마포구청역
일일향마포5호점,서울 마포구 새창로2길 15-2,맛집,외국식,마포역
저스티나,서울 마포구 양화진2길 31-0,맛집,카페/찻집,합정역
조선초가한끼,서울 마포구 독막로 288-0,맛집,한식,대흥역
중화복춘골드,서울 마포구 월드컵북로6길 42-0,맛집,외국식,홍대입구역
진미식당,서울 마포구 마포대로 186-6,맛집,외국식,애오개역
진진본관,서울 마포구 잔다리로 123-0,맛집,외국식,망원역
진평925,서울 마포구 망원로 87-0,맛집,한식,망원역
창고43상암점,서울 마포구 매봉산로 75-0,맛집,한식,디지털미디어시티역
채그로,서울 마포구 마포대로4다길 31-0,맛집,카페/찻집,마포역
철길왕갈비살본점,서울 마포구 와우산로32길 24-0,맛집,한식,서강대역
청기와타운마포용강점,서울 마포구 토정로 296-0,맛집,한식,마포역
청어람망원점,서울 마포구 망원로 97-0,맛집,외국식,망원역
카페노티드연남,서울 마포구 월드컵북로6길 12-13,맛집,카페/찻집,홍대입구역
쿠우쿠우상암점,서울 마포구 매봉산로 80-0,맛집,외국식,디지털미디어시티역
탑클라우드23,서울 마포구 백범로 192-0,맛집,외국식,공덕역
툭툭누들타이,서울 마포구 성미산로 161-8,맛집,외국식,홍대입구역
포비베이직합정점,서울 마포구 양화로3길 66-0,맛집,카페/찻집,합정역
프릿츠도화점,서울 마포구 새창로2길 17-0,맛집,카페/찻집,마포역
프랑제리피어 신촌점,서울 마포구 서강로 75-16,맛집,간이음식,광흥창역
피오니,서울 마포구 독막로7길 51-0,맛집,카페/찻집,합정역
피오니연남점,서울 마포구 연남로 59-1,맛집,카페/찻집,가좌역
핑크솔트숯불구이,서울 마포구 양화로 16-0,맛집,한식,합정역
하이디라오홍대점,서울 마포구 양화로 176-0,맛집,외국식,홍대입구역
홍대조폭떡볶이,서울 마포구 어울마당로 60-0,맛집,간이음식,상수역
황금콩밭,서울 마포구 마포대로16길 9-0,맛집,한식,애오개역
