NAME,ADDRESS,CATE,SUBCATE,STATION_NAME,,,,,,,,
소문난멸치국수,서울 노원구 동일로173가길 81-0,맛집,간이음식,공릉역,,,,,,,,
수락산먹자골목,서울 노원구 동일로230가길 0-0,맛집,기타음식,수락산역,,,,,,,,
수락이오냉면,서울 노원구 동일로237다길 7-0,맛집,한식,수락산역,,,,,,,,
쉐이크쉑노원점,서울 노원구 동일로 1414-0,맛집,간이음식,노원역,,,,,,,,
슈엔챠이상계점,서울 노원구 동일로 1335-0,맛집,외국식,중계역,,,,,,,,
스시웨이노원점,서울 노원구 동일로 1374-0,맛집,외국식,노원역,,,,,,,,
신가네칼국수,서울 노원구 공릉로59나길 78-14,맛집,한식,하계역,,,,,,,,
신고집찜칼국수본점,서울 노원구 노원로15길 51-30,맛집,한식,하계역,,,,,,,,
신선설농탕노원역점,서울 노원구 노해로 511-0,맛집,한식,노원역,,,,,,,,
아웃백스테이크하우스노원점,서울 노원구 동일로 1419-0,맛집,전문음식,노원역,,,,,,,,
안시성,서울 노원구 화랑로 475-0,맛집,외국식,태릉입구역,,,,,,,,
애슐리퀸즈2001아울렛중계점,서울 노원구 동일로204가길 46-0,맛집,외국식,하계역,,,,,,,,
애슐리퀸즈이마트월계점,서울 노원구 마들로3길 15-0,맛집,외국식,광운대역,,,,,,,,
엄마손칼국수,서울 노원구 상계로39길 5-0,맛집,한식,당고개역,,,,,,,,
오스테리아잭팟,서울 노원구 화랑로53길 14-0,맛집,외국식,화랑대역,,,,,,,,
용순가재골수제비,서울 노원구 동일로242길 100-0,맛집,한식,수락산역,,,,,,,,
유정집,서울 노원구 동일로173가길 65-0,맛집,한식,공릉역,,,,,,,,
이종구낙지세상본점,서울 노원구 중계로 90-0,맛집,외국식,중계역,,,,,,,,
이춘복참치노원직영점,서울 노원구 노해로85길 10-7,맛집,외국식,노원역,,,,,,,,
장위동유성집노원점,서울 노원구 한글비석로1길 68-0,맛집,한식,하계역,,,,,,,,
전민규의황제누룽지탕노원직영점,서울 노원구 노해로77길 14-8,맛집,한식,노원역,,,,,,,,
제일콩집,서울 노원구 동일로174길 37-8,맛집,한식,태릉입구역,,,,,,,,
제형면옥하계점,서울 노원구 공릉로65길 16-0,맛집,한식,하계역,,,,,,,,
중원,서울 노원구 동일로242가길 36-0,맛집,외국식,수락산역,,,,,,,,
쪼매매운떡볶이공릉점,서울 노원구 공릉로 208-0,맛집,간이음식,공릉역,,,,,,,,
참누렁소가든,서울 노원구 공릉로63길 13-0,맛집,한식,하계역,,,,,,,,
천하뼈다귀감자탕,서울 노원구 동일로 1595-0,맛집,한식,마들역,,,,,,,,
청와정,서울 노원구 동일로 1611-0,맛집,한식,수락산역,,,,,,,,
청학골,서울 노원구 동일로192길 6-0,맛집,한식,공릉역,,,,,,,,
춘보만두,서울 노원구 섬밭로 56-0,맛집,한식,공릉역,,,,,,,,
카페브람스,서울 노원구 중계로8길 48-0,맛집,카페/찻집,상계역,,,,,,,,
코타브레드,서울 노원구 공릉로 165-0,맛집,간이음식,공릉역,,,,,,,,
크래버대게나라노원점,서울 노원구 한글비석로 326-0,맛집,외국식,상계역,,,,,,,,
태능고향풍천장어본점,서울 노원구 화랑로 459-0,맛집,외국식,태릉입구역,,,,,,,,
터줏대감,서울 노원구 동일로246길 21-0,맛집,한식,수락산역,,,,,,,,
테르미니,서울 노원구 화랑로53길 12-0,맛집,외국식,화랑대역,,,,,,,,
페페그라노,서울 노원구 공릉로32길 5-0,맛집,외국식,화랑대역,,,,,,,,
평양칼국수,서울 노원구 동일로 1652-0,맛집,한식,수락산역,,,,,,,,
풍미연노원본점,서울 노원구 노해로85길 7-0,맛집,한식,노원역,,,,,,,,
피노키오냉면,서울 노원구 한글비석로 474-0,맛집,한식,마들역,,,,,,,,
핏짜굽는언니,서울 노원구 동일로198길 58-0,맛집,외국식,공릉역,,,,,,,,
하나샤브샤브,서울 노원구 동일로203가길 29-0,맛집,외국식,중계역,,,,,,,,
한촌설렁탕공릉역점,서울 노원구 동일로 1045-0,맛집,한식,공릉역,,,,,,,,
해품장팔팔장어,서울 노원구 노원로 192-0,맛집,외국식,하계역,,,,,,,,
향림,서울 노원구 한글비석로 127-0,맛집,외국식,하계역,,,,,,,,
호접몽,서울 노원구 중계로18길 9-0,맛집,외국식,중계역,,,,,,,,
