"T_IDX","STATION_NAME","T_NAME","CATE","ADDRESS","LAT","LON"
64,"강동","안말어린이공원","관광지","서울 강동구 풍성로45길 11-0",37.53149557,127.1299421
65,"강동","강풀만화거리","관광지","서울 강동구",37.53607837,127.1304142
66,"강동","길동우동길동본점","맛집","서울 강동구 천호대로 1135-0",37.53463,127.13779
67,"강동","꿀꿀진순대국강동본점","맛집","서울 강동구 양재대로103길 70-0",37.533985,127.13419
68,"강동","이바돔감자탕강동역점","맛집","서울 강동구 천호대로 1099-0",37.535763,127.13412
69,"강동구청","송파구여성축구장","관광지","서울 송파구 올림픽로 474-0",37.52442574,127.1185569
70,"강동구청","성내유수지축구장","관광지","서울 송파구",37.5268016,127.1200819
71,"강동구청","버섯잔치집본점","맛집","서울 강동구 성내로 52-0",37.528316,127.125694
72,"강동구청","생어거스틴성내점","맛집","서울 강동구 강동대로 143-64",37.52808,127.12012
73,"강동구청","셀프하우스","맛집","서울 강동구 올림픽로 572-0",37.532555,127.12182
74,"강동구청","수라연","맛집","서울 강동구 강동대로 143-64",37.52808,127.12012
75,"강동구청","오륜정","맛집","서울 강동구 성내로6길 32-0",37.5286,127.12219
76,"강동구청","장어집","맛집","서울 강동구 가래여울2길 33-0",37.576954,127.17073
77,"강동구청","주문진","맛집","서울 강동구 성안로3길 27-0",37.525955,127.12812
78,"강동구청","메가박스/강동","관광지","서울 강동구 성내로 48-0",37.52846811,127.1253869
79,"강동구청","최냉면본점","맛집","서울 강동구 천호옛8길 34-0",37.532745,127.124985
80,"강동구청","커피몽타주","맛집","서울 강동구 올림픽로48길 23-12",37.5295,127.121864
81,"강동구청","채선당올림픽공원점","맛집","서울 강동구 강동대로 143-22",37.52718,127.12188
82,"강동구청","유천냉면본점","맛집","서울 송파구 강동대로3길 22-0",37.528503,127.11558
83,"강동구청","화진포막국수","맛집","서울 강동구 성내로10길 12-0",37.52844,127.124535
84,"강변","CGV/강변","관광지","서울 광진구 광나루로56길 85-0",37.53585596,127.0956951
85,"강변","롯데마트/강변점","관광지","서울 광진구 광나루로56길 85-0",37.53571709,127.0956951
86,"강변","동서울아트홀","관광지","서울 광진구 구의강변로 38-0",37.53416169,127.0918621
87,"강변","구의공원","관광지","서울 광진구",37.53696694,127.0946119
88,"강변","대가식당","맛집","서울 광진구 광나루로 596-0",37.54203,127.09437
89,"강변","고고기","맛집","서울 광진구 아차산로 471-0",37.54042,127.09397
90,"강변","도치피자강변점","맛집","서울 광진구 아차산로62길 14-4",37.53906,127.09334
91,"강변","바르미샤브샤브앤칼국수구의점","맛집","서울 광진구 아차산로 471-0",37.54042,127.09397
92,"강변","스시텐강변점","맛집","서울 광진구 구의강변로 86-0",37.538116,127.09404
93,"강변","애슐리퀸즈강변점","맛집","서울 광진구 광나루로56길 85-0",37.535725,127.095695
94,"강변","양촌리생삼겹살","맛집","서울 광진구 아차산로 482-0",37.54054,127.09548
95,"강일","고덕차량사업소야구장","관광지","서울 강동구 아리수로87길 32-0",37.56546412,127.1702436
96,"강일","폴바셋상일동점","맛집","서울 강동구 상일로6길 21-0",37.549744,127.174355
97,"개롱","버드나무집","맛집","서울 송파구 동남로 309-0",37.503063,127.137566
98,"개봉","신선설농탕고척점","맛집","서울 구로구 경인로 387-0",37.497086,126.863144
99,"개봉","향원갈비","맛집","서울 구로구 개봉로20길 18-0",37.492893,126.85645
100,"개봉","개봉중앙시장","관광지","서울 구로구 개봉로17길 34-0",37.49180401,126.8539118
101,"개봉","2001아울렛/구로점","관광지","서울 구로구 중앙로1길 36-0",37.49808111,126.8626888
102,"개봉","고척근린공원","관광지","서울 구로구",37.50574683,126.8522452
103,"개봉","명륜진사갈비서울 개봉점","맛집","서울 구로구 개봉로 27-0",37.48819,126.856
104,"개봉","다채개봉점","맛집","서울 구로구 개봉로23길 38-0",37.495995,126.856674
105,"개봉","고척근린소공원","관광지","서울 구로구",37.50344154,126.8525507
106,"개봉","2001아울렛소극장키즈홀/구로점","관광지","서울 구로구 중앙로1길 36-0",37.49808111,126.862661
107,"개화산","방신재래시장","관광지","서울 강서구 방화동로16길 32-0",37.57160008,126.812387
108,"거여","밀파니","맛집","서울 송파구 위례서로 273-0",37.489124,127.14246
109,"건대입구","감성타코건대점","맛집","서울 광진구 능동로13길 39-0",37.54396,127.069756
110,"건대입구","광진문화예술회관/나루아트센터","관광지","서울 광진구 능동로 76-0",37.5374945,127.0706418
111,"건대입구","퐁퐁플라워/건대센터","관광지","서울 광진구 아차산로 272-0",37.5386055,127.0730582
112,"건대입구","한아름쇼핑센터","관광지","서울 광진구 능동로13길 39-0",37.5434938,127.069864
113,"건대입구","스타시티","관광지","서울 광진구 아차산로 272-0",37.5387166,127.0725305
114,"건대입구","CGV/건대입구","관광지","서울 광진구 아차산로30길 26-0",37.53979977,127.0668921
115,"건대입구","커먼그라운드","관광지","서울 광진구 아차산로 200-0",37.54129959,127.0658644
116,"건대입구","롯데시네마/건대입구","관광지","서울 광진구 아차산로 272-0",37.53863328,127.0732527
117,"건대입구","롯데백화점/건대스타시티점","관광지","서울 광진구 능동로 90-0",37.53904988,127.0713084
118,"건대입구","이마트/자양점","관광지","서울 광진구 아차산로 272-0",37.53866105,127.0731138
119,"건대입구","호야본점","맛집","서울 광진구 능동로13길 39-0",37.54396,127.069756
120,"건대입구","하이디라오건대지점","맛집","서울 광진구 능동로 110-0",37.54084,127.071045
121,"건대입구","원조남원추어탕숙회","맛집","서울 광진구 동일로 114-0",37.542747,127.06458
122,"건대입구","우성식당","맛집","서울 광진구 자양번영로 60-1",37.534863,127.07643
123,"건대입구","아웃백스테이크하우스건대스타시티점","맛집","서울 광진구 능동로 92-0",37.539,127.07121
124,"건대입구","송화양꼬치","맛집","서울 광진구 동일로18길 70-0",37.53879,127.06656
125,"건대입구","송화산시도삭면","맛집","서울 광진구 뚝섬로27길 48-0",37.537903,127.06652
126,"건대입구","송림식당","맛집","서울 광진구 자양번영로 79-0",37.536785,127.076515
127,"건대입구","설빙건대직영2호점","맛집","서울 광진구 아차산로 230-0",37.540257,127.06873
