,STATION_NAME,W,GU,LON,LAT
121,수유,3207.097277,강북구,127.024734,37.637127
122,숙대입구,1326.23491,용산구,126.971954,37.545124
123,숭실대입구,1883.155261,동작구,126.95365,37.496258
124,시청,4056.852801,중구,126.97541,37.56359
125,신금호,604.3178692,성동구,127.0204,37.554504
126,신길,352.8300112,영등포구,126.91726,37.517056
127,신답,485.7207327,성동구,127.05635,37.56147
128,신당,2319.059104,중구,127.019485,37.56568
129,신대방,3040.948414,동작구,126.91328,37.487534
130,신대방삼거리,1791.096301,동작구,126.928215,37.499718
131,신도림,5202.983156,구로구,126.89152,37.509106
132,신림,5552.29162,관악구,126.92957,37.484215
133,신사,3055.092434,강남구,127.02025,37.516438
134,신설동,2037.733577,동대문구,127.02471,37.57612
135,신용산,1543.173217,용산구,126.96858,37.52919
136,신정,959.4709433,양천구,126.85618,37.525
137,신정네거리,1183.623807,양천구,126.85285,37.520218
138,신촌,3736.888827,마포구,126.93689,37.555153
139,신풍,1161.758686,영등포구,126.909805,37.500107
140,쌍문,2534.502878,도봉구,127.03438,37.648273
141,아차산,1365.698414,광진구,127.08961,37.552006
142,아현,1015.392266,마포구,126.95608,37.557407
143,안국,2252.906513,종로구,126.98547,37.57656
144,안암,1153.055938,성북구,127.02903,37.58626
145,암사,1654.078192,강동구,127.12752,37.550125
146,압구정,2849.374579,강남구,127.0285,37.52617
147,애오개,702.9179534,마포구,126.95673,37.553593
148,약수,1608.774393,중구,127.01063,37.554672
149,양재,3212.796322,서초구,127.03513,37.48466
150,양천구청,930.374228,양천구,126.8652,37.512196
151,양평,649.2785654,영등포구,126.88618,37.525616
152,어린이대공원,1272.620438,광진구,127.07465,37.547962
153,여의나루,1084.717294,영등포구,126.93281,37.527145
154,여의도,1816.53804,영등포구,126.92432,37.52158
155,역삼,4006.253018,강남구,127.03643,37.500656
156,역촌,466.6819203,은평구,126.92277,37.60605
157,연신내,3588.974382,은평구,126.92086,37.618855
158,영등포구청,2302.309517,영등포구,126.89663,37.525764
159,영등포시장,882.7618613,영등포구,126.90513,37.52272
160,오금,1158.131527,송파구,127.12834,37.50229
161,오목교,2156.643669,양천구,126.875046,37.524555
162,옥수,1089.525688,성동구,127.0173,37.541653
163,온수,1107.971292,구로구,126.82401,37.49246
164,올림픽공원,512.9768389,송파구,127.13096,37.516216
165,왕십리,2070.63644,성동구,127.03551,37.561157
166,용답,374.297726,성동구,126.97786,37.566414
167,용두,630.4717855,동대문구,127.03811,37.574013
168,용마산,600.7767406,중랑구,127.0868,37.573753
169,우장산,1272.692378,강서구,126.83633,37.548862
170,월곡,1122.608506,성북구,127.04149,37.60192
171,월드컵경기장,676.1725154,마포구,126.89908,37.56944
172,을지로3가,2693.991366,중구,126.991776,37.56629
173,을지로4가,1873.174295,중구,126.99812,37.566612
174,을지로입구,3453.545697,중구,126.98257,37.565998
175,응암,1641.78418,은평구,126.91558,37.59859
176,이대,1724.398442,마포구,126.9459,37.556732
177,이수,1445.274705,동작구,126.98165,37.485306
178,이촌,880.3651039,용산구,126.97335,37.522526
179,이태원,1418.419076,용산구,126.99437,37.534485
180,일원,1012.05664,강남구,127.08416,37.48389
181,잠실,8280.618964,송파구,127.10013,37.513306
182,잠실나루,1538.37872,송파구,127.103836,37.520687
183,잠실새내,2202.90904,송파구,127.10374,37.520733
184,잠원,809.0107383,서초구,127.01161,37.51299
185,장승배기,1490.419246,동작구,126.939026,37.504845
186,장지,2755.386818,송파구,127.12623,37.478607
187,장한평,1464.23091,동대문구,127.0646,37.56144
188,제기동,1967.494666,동대문구,127.034904,37.578117
189,종각,3480.078958,종로구,126.983116,37.5702
190,종로3가,5890.036917,종로구,126.992096,37.57043
191,종로5가,2805.762142,종로구,127.0019,37.570972
192,종합운동장,944.807973,송파구,127.07364,37.51101
193,중계,1211.79548,노원구,127.06409,37.645054
194,중곡,880.0122824,광진구,127.08429,37.565876
195,중화,992.1500561,중랑구,127.079254,37.602604
196,증산,961.4030039,은평구,126.90978,37.58399
197,창동,2787.169076,도봉구,127.04783,37.652775
198,창신,368.4186552,종로구,127.01524,37.579773
199,천왕,1560.563838,구로구,126.838684,37.4867
200,천호,4032.385598,강동구,127.12354,37.538567
201,청구,1198.753194,중구,127.01379,37.560238
202,청담,1671.37121,강남구,127.05185,37.519096
203,청량리,2515.396898,동대문구,127.04506,37.580147
204,총신대입구,2038.163602,동작구,126.98223,37.48743
205,충무로,2243.454584,중구,126.995476,37.561302
206,충정로,1601.686061,서대문구,126.964455,37.559742
207,태릉입구,1547.161075,노원구,127.07474,37.617317
208,하계,1630.711328,노원구,127.068,37.636364
209,학동,1698.032917,강남구,127.03174,37.514263
210,학여울,384.6317378,강남구,127.07054,37.496758
211,한강진,1105.213504,용산구,127.00173,37.53956
212,한성대입구,1737.96224,성북구,127.00675,37.58838
213,한양대,835.5427428,성동구,127.0435,37.55658
214,합정,4370.114823,마포구,126.91456,37.550026
215,행당,831.9792953,성동구,127.02948,37.557297
216,혜화,3427.342645,종로구,127.00176,37.582115
217,홍대입구,6542.381738,마포구,126.923645,37.556747
218,홍제,2077.179253,서대문구,126.94409,37.588852
219,화곡,2393.328678,강서구,126.84044,37.541584
220,화랑대,1327.415707,노원구,127.08411,37.619877
221,회현,2335.083462,중구,126.97957,37.559696
222,효창공원앞,739.4703818,용산구,126.96135,37.53928
